,Unnamed: 0,latitude,longitude,neighborhood,seller_id,seller_city,seller_state,real_estate_agency,seller_cancelations,seller_claims,seller_handling_time,seller_sales,currency_id,item_condition,has_air_conditioning,bedrooms,covered_area,full_bathrooms,rooms,total_area,operation,property_type,food_and_drinks_stores,spa,transport_facilities,parking,school_universities,airports,hospitals,retail_stores,laundry,gym,pet_services,car_services,culture_and_entertainment,house_services,public_forces,banks_atms,green_spaces,funerary_services,dist_to_popular_neighborhood,Cocheras,Cantidad de pisos,Disposición,Antigüedad,img_count,description,real_neighborhood,Antigüedad_discretizada,has_pool,has_terrace,has_jacuzzi,has_washer,has_gym,has_cochera,has_amenities,has_elevator,has_parquet_floor,has_security,has_service_dependency,is_luminous,is_recycled,needs_recycling,has_underfloor_heating,was_revaluated,allows_pets,tipo_inmueble,comuna_caba,avg_crime,close_places,expensas_discretizadas,price,pred_price
1986,38814,-34.60873,-58.41753,1,192626894.0,33,1,True,0.0,0.0,0.0,0.0,0,0,False,1.0,32.0,1.0,1.0,60.0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,24741,0.0,6.0,0,0.0,22.0,32356,1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,5,8856.0,10,1,75000.0,97125.2412335859
1987,38910,-34.602818,-58.425335,1,233420216.0,33,1,True,0.0,0.0,0.0,0.0,0,1,True,3.0,90.0,2.0,4.0,106.0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,27874,0.0,6.0,0,51.0,28.0,11529,1,3,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,1,5,8856.0,7,0,175000.0,123647.87927507212
1988,39600,-34.61132,-58.42742,1,790605373.0,226,1,True,0.0,0.0,0.0,0.0,0,0,False,1.0,37.0,1.0,2.0,40.0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,23427,1.0,6.0,1,0.0,17.0,16996,1,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,1,5,8856.0,6,1,96000.0,99281.81123791491
1989,43747,-34.57463,-58.484615,61,526537837.0,249,1,True,0.0,0.0,0.0,0.0,0,1,False,1.0,38.0,1.0,2.0,38.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,24747,0.0,5.0,0,42.0,9.0,45419,46,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,12,8322.666666666666,7,2,90000.0,87942.15626695525
1990,12656,-34.60474,-58.376022,46,44282968.0,79,1,True,0.0,0.0,0.0,0.0,0,1,False,2.0,50.0,1.0,3.0,50.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713,0.0,9.0,2,44.0,23.0,8149,31,1,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,1,1,24616.0,2,2,109200.0,100533.11741071417
1991,32552,-34.591976,-58.395714,4,167053772.0,389,1,True,0.0,0.0,0.0,0.0,0,0,True,2.0,64.0,2.0,3.0,87.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5714,0.0,7.0,1,0.0,8.0,15728,27,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,7633.666666666667,3,2,257000.0,114622.63103487251
1992,49865,-34.58168,-58.42261,29,184615300.0,256,1,True,0.0,0.0,0.0,0.0,0,0,False,0.0,37.0,1.0,1.0,37.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,28888,0.0,7.0,1,0.0,30.0,20279,20,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,1,14,12654.333333333334,3,3,123000.0,90406.75429797982
1993,38301,-34.609707,-58.42621,1,233510047.0,357,0,True,0.0,0.0,0.0,0.0,0,1,False,2.0,65.0,2.0,3.0,78.0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,24074,0.0,6.0,2,26.0,30.0,9851,1,2,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,1,5,8856.0,5,1,155000.0,119958.98858405481
1994,9300,-34.54161,-58.477394,44,364178849.0,249,1,True,2.0,0.0,0.0,0.0,0,0,True,2.0,64.0,1.0,3.0,64.0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,32339,1.0,4.0,2,0.0,14.0,43677,29,0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1,12,8322.666666666666,7,1,168000.0,125441.44904839607
1995,47213,-34.61688,-58.449764,12,233547533.0,256,1,True,0.0,0.0,0.0,0.0,0,1,True,0.0,30.0,1.0,1.0,34.0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0,942,0.0,7.0,3,3.0,21.0,8449,7,4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,6,7021.333333333333,6,1,76000.0,91073.5086058802
